,geo_value,time_value,value,sample_size,trend
167,hi,2020-12-30,76.5256,1015.0,35
168,ia,2020-12-30,74.6474,3779.3366,0
169,id,2020-12-30,66.685,2053.6695,0
170,il,2020-12-30,73.35,12121.0226,44
171,in,2020-12-30,67.5968,6682.0058,0
172,ks,2020-12-30,72.4964,3233.1174,0
173,ky,2020-12-30,68.8352,4347.4151,18
174,la,2020-12-30,61.3175,4178.3667,35
175,ma,2020-12-30,81.3433,5560.0125,27
176,md,2020-12-30,78.1698,4604.9968,39
177,me,2020-12-30,77.5837,2031.0,0
178,mi,2020-12-30,71.7696,11414.0625,27
179,mn,2020-12-30,79.9974,4796.918,0
180,mo,2020-12-30,68.704,5310.9472,16
181,ms,2020-12-30,61.0968,2753.2694,30
182,mt,2020-12-30,69.1322,1379.5251,0
183,nc,2020-12-30,69.1694,10208.0103,28
184,nd,2020-12-30,66.0046,766.7627,0
185,ne,2020-12-30,75.1623,1933.6797,0
186,nh,2020-12-30,77.9968,1901.0,48
187,nj,2020-12-30,74.6561,6396.9968,25
188,nm,2020-12-30,77.0003,2802.837,0
189,nv,2020-12-30,70.6093,2180.3419,0
190,ny,2020-12-30,74.7838,14337.0016,21
191,oh,2020-12-30,68.7396,11987.001,21
192,ok,2020-12-30,66.7226,4502.0532,23
193,or,2020-12-30,75.2357,4395.6466,16
194,pa,2020-12-30,72.7892,13128.0057,29
195,ri,2020-12-30,81.1912,1165.9875,0
196,sc,2020-12-30,65.7351,5706.0019,20
197,sd,2020-12-30,71.8249,1039.422,45
198,tn,2020-12-30,67.0916,6753.5777,42
199,tx,2020-12-30,69.5655,20300.0074,78
200,us,2020-12-30,72.3227,289731.9094,52
201,ut,2020-12-30,74.235,2923.9592,33
202,va,2020-12-30,74.1241,8350.5215,34
203,vt,2020-12-30,83.5929,898.0013,0
204,wa,2020-12-30,79.6867,7242.9636,0
205,wi,2020-12-30,76.1776,5709.9381,17
206,wv,2020-12-30,67.7564,2677.0589,51
207,wy,2020-12-30,61.6805,725.6976,0
208,ak,2020-12-31,70.6054,858.0,0
209,al,2020-12-31,61.8499,4480.1429,20
210,ar,2020-12-31,66.8671,3241.8355,0
211,az,2020-12-31,73.4879,6109.9579,22
212,ca,2020-12-31,78.2584,27699.8283,34
213,co,2020-12-31,77.9273,5509.5928,23
214,ct,2020-12-31,80.7548,4278.0,51
215,dc,2020-12-31,85.5294,424.0,12
216,de,2020-12-31,73.9607,1322.0,0
217,fl,2020-12-31,69.3927,18261.0002,20
218,ga,2020-12-31,63.0422,6707.9167,34
219,hi,2020-12-31,77.2555,1052.0,0
220,ia,2020-12-31,74.9216,3896.4244,26
221,id,2020-12-31,67.1122,2110.7668,0
222,il,2020-12-31,73.4729,12475.0225,15
223,in,2020-12-31,67.7477,6890.0024,15
224,ks,2020-12-31,72.9744,3305.1167,0
225,ky,2020-12-31,69.1824,4506.7107,18
226,la,2020-12-31,61.1687,4368.3658,36
227,ma,2020-12-31,81.3023,5735.0155,9
228,md,2020-12-31,78.2403,4766.9967,26
229,me,2020-12-31,78.467,2119.0,0
230,mi,2020-12-31,72.4704,11799.0456,19
231,mn,2020-12-31,80.0758,4875.8084,0
232,mo,2020-12-31,68.5541,5485.9462,66
233,ms,2020-12-31,60.6719,2841.7057,31
234,mt,2020-12-31,69.2229,1428.2664,0
235,nc,2020-12-31,69.1726,10647.0116,28
236,nd,2020-12-31,66.4202,774.0374,0
237,ne,2020-12-31,75.8303,2003.691,0
238,nh,2020-12-31,79.0517,1992.0,0
239,nj,2020-12-31,74.8577,6674.9971,9
240,nm,2020-12-31,77.058,2875.169,32
241,nv,2020-12-31,70.4014,2209.4234,33
242,ny,2020-12-31,75.0405,14809.0019,31
243,oh,2020-12-31,68.7123,12440.0025,21
244,ok,2020-12-31,67.3356,4611.0521,23
245,or,2020-12-31,75.5047,4545.3983,0
246,pa,2020-12-31,73.1371,13540.0067,14
247,ri,2020-12-31,81.7075,1187.9845,0
248,sc,2020-12-31,65.4157,5928.0026,0
249,sd,2020-12-31,73.6134,1068.4705,0
250,tn,2020-12-31,66.905,6963.2919,28
251,tx,2020-12-31,69.7385,21163.059,81
252,us,2020-12-31,72.4742,299433.6596,41
253,ut,2020-12-31,74.5959,2989.1366,34
254,va,2020-12-31,74.1219,8584.8202,34
255,vt,2020-12-31,83.3158,949.0014,0
256,wa,2020-12-31,79.9696,7554.9592,35
257,wi,2020-12-31,76.5672,5868.9551,0
258,wv,2020-12-31,67.9282,2735.0591,0
259,wy,2020-12-31,61.3229,770.6604,0
260,ak,2021-01-01,71.3699,364.0,0
261,al,2021-01-01,63.913,2051.0643,0
262,ar,2021-01-01,67.1865,1442.0066,0
263,az,2021-01-01,73.1925,2746.3695,12
264,ca,2021-01-01,78.366,12477.1061,10
265,co,2021-01-01,79.3784,2585.9374,24
266,ct,2021-01-01,79.9441,1966.0,18
267,dc,2021-01-01,85.9195,173.0,12
268,de,2021-01-01,74.8038,636.0,0
269,fl,2021-01-01,69.9444,8445.0002,38
270,ga,2021-01-01,64.3983,3238.9511,35
271,hi,2021-01-01,78.4043,469.0,0
272,ia,2021-01-01,74.8065,1798.7689,26
273,id,2021-01-01,68.5811,946.2518,0
274,il,2021-01-01,74.3364,5499.0007,0
275,in,2021-01-01,68.4593,3094.9996,15
276,ks,2021-01-01,74.1043,1503.0006,0
277,ky,2021-01-01,70.0013,2106.3479,0
278,la,2021-01-01,63.9735,2034.9977,0
279,ma,2021-01-01,83.4171,2583.0065,0
280,md,2021-01-01,79.4255,2139.9986,14
281,me,2021-01-01,80.3811,970.0,0
282,mi,2021-01-01,74.3827,5384.0226,29
283,mn,2021-01-01,80.3293,2136.7035,19
284,mo,2021-01-01,69.5901,2523.0924,0
285,ms,2021-01-01,60.7184,1318.3439,0
286,mt,2021-01-01,69.6471,652.5409,0
287,nc,2021-01-01,69.928,5002.0062,20
288,nd,2021-01-01,69.7663,345.5866,0
289,ne,2021-01-01,77.688,937.8303,27
290,nh,2021-01-01,79.8098,893.0,0
291,nj,2021-01-01,76.3538,3045.9989,9
292,nm,2021-01-01,78.3312,942.6305,0
293,nv,2021-01-01,70.9208,1028.8941,0
294,ny,2021-01-01,75.8362,6726.0013,20
295,oh,2021-01-01,70.5478,5749.0023,7
296,ok,2021-01-01,68.8541,2123.0549,50
297,or,2021-01-01,77.4122,2125.8034,17
298,pa,2021-01-01,74.2032,6180.0034,8
299,ri,2021-01-01,81.2739,524.9935,49
300,sc,2021-01-01,65.9578,2891.0017,0
301,sd,2021-01-01,71.048,466.386,0
302,tn,2021-01-01,68.0244,3219.6526,15
303,tx,2021-01-01,71.0473,9696.047,43
304,us,2021-01-01,73.3763,136488.5336,28
305,ut,2021-01-01,74.6104,1348.004,0
306,va,2021-01-01,75.7329,3856.1609,12
307,vt,2021-01-01,82.809,444.0009,0
308,wa,2021-01-01,81.2251,3500.9823,12
309,wi,2021-01-01,77.7969,2590.9754,35
310,wv,2021-01-01,67.5993,1232.0039,0
311,wy,2021-01-01,60.9252,333.0027,0
312,ak,2021-01-02,69.4106,491.0,0
313,al,2021-01-02,64.3247,2725.0718,0
314,ar,2021-01-02,67.7965,1991.0009,0
315,az,2021-01-02,73.5933,3729.6617,12
316,ca,2021-01-02,78.4676,16985.1061,3
317,co,2021-01-02,79.6771,3430.9359,12
318,ct,2021-01-02,80.4226,2673.0,0
319,dc,2021-01-02,87.037,242.0,12
320,de,2021-01-02,75.5569,852.0,37
321,fl,2021-01-02,70.3786,11462.0005,33
322,ga,2021-01-02,64.1042,4362.9434,12
323,hi,2021-01-02,77.9647,623.0,0
324,ia,2021-01-02,74.7529,2412.7131,0
325,id,2021-01-02,69.864,1272.3951,52
326,il,2021-01-02,74.3104,7467.0003,16
327,in,2021-01-02,68.5292,4159.9999,15
328,ks,2021-01-02,73.137,2006.837,0
329,ky,2021-01-02,69.7084,2799.0386,0
330,la,2021-01-02,64.2096,2718.9975,0
331,ma,2021-01-02,83.2253,3549.0085,9
332,md,2021-01-02,79.6443,2894.9983,14
333,me,2021-01-02,79.8706,1313.0,0
334,mi,2021-01-02,74.3692,7211.0219,28
335,mn,2021-01-02,80.5443,2888.4912,19
336,mo,2021-01-02,69.7594,3387.0978,34
337,ms,2021-01-02,59.9912,1784.6929,0
338,mt,2021-01-02,70.8258,874.2659,0
339,nc,2021-01-02,69.8957,6807.0088,10
340,nd,2021-01-02,69.9367,463.7806,100
341,ne,2021-01-02,76.4315,1290.7441,0
342,nh,2021-01-02,79.4358,1222.0,0
343,nj,2021-01-02,76.4062,4158.9987,9
344,nm,2021-01-02,78.1104,1309.3331,0
345,nv,2021-01-02,72.0714,1407.8941,66
346,ny,2021-01-02,75.8458,9192.002,24
347,oh,2021-01-02,70.2024,7706.0036,7
348,ok,2021-01-02,68.6478,2845.8685,24
349,or,2021-01-02,77.4509,2887.8088,0
350,pa,2021-01-02,73.9915,8229.0048,7
351,ri,2021-01-02,81.5755,728.9915,0
352,sc,2021-01-02,65.7801,3928.0027,40
353,sd,2021-01-02,71.5544,634.9242,0
354,tn,2021-01-02,67.7028,4357.9623,29
355,tx,2021-01-02,71.3213,13087.2943,41
356,us,2021-01-02,73.426,184558.2271,30
357,ut,2021-01-02,75.5414,1845.0136,0
358,va,2021-01-02,75.4058,5183.4002,0
359,vt,2021-01-02,83.4421,612.0013,0
360,wa,2021-01-02,80.9542,4778.8429,24
361,wi,2021-01-02,77.6702,3462.9767,18
362,wv,2021-01-02,68.1314,1651.1042,0
363,wy,2021-01-02,59.7598,459.9878,0
364,ak,2021-01-03,70.4259,633.0,0
365,al,2021-01-03,63.684,3514.0954,0
366,ar,2021-01-03,67.8574,2533.0017,0
367,az,2021-01-03,73.848,4794.6,0
368,ca,2021-01-03,78.7499,21653.1093,19
369,co,2021-01-03,79.1608,4367.8759,12
370,ct,2021-01-03,80.4493,3449.0,50
371,dc,2021-01-03,87.931,318.0,24
372,de,2021-01-03,75.0231,1082.0,0
373,fl,2021-01-03,70.4475,14612.0008,41
374,ga,2021-01-03,64.3116,5553.937,61
375,hi,2021-01-03,77.0782,817.0,37
376,ia,2021-01-03,75.2735,3101.3159,76
377,id,2021-01-03,68.7001,1624.4048,0
378,il,2021-01-03,74.9896,9600.9997,8
379,in,2021-01-03,69.1396,5357.0,0
380,ks,2021-01-03,72.9521,2569.8662,0
381,ky,2021-01-03,69.4077,3536.4136,0
382,la,2021-01-03,64.211,3534.9972,37
383,ma,2021-01-03,82.82,4577.011,0
384,md,2021-01-03,79.4149,3707.9974,13
385,me,2021-01-03,78.5289,1678.0,25
386,mi,2021-01-03,74.1637,9325.0208,0
387,mn,2021-01-03,79.9873,3687.4651,0
388,mo,2021-01-03,70.1049,4356.1714,0
389,ms,2021-01-03,60.2744,2303.8154,0
390,mt,2021-01-03,70.1712,1123.2582,0
391,nc,2021-01-03,70.2478,8716.0105,19
392,nd,2021-01-03,69.5848,599.7804,0
393,ne,2021-01-03,75.8233,1634.6561,27
394,nh,2021-01-03,79.8917,1568.0,0
395,nj,2021-01-03,76.6792,5313.9982,0
396,nm,2021-01-03,77.556,1642.4454,33
397,nv,2021-01-03,72.3176,1788.8912,0
398,ny,2021-01-03,75.8249,11728.0022,10
399,oh,2021-01-03,69.8469,9794.0047,7
400,ok,2021-01-03,68.834,3654.6254,0
401,or,2021-01-03,77.1456,3636.8119,34
402,pa,2021-01-03,73.58,10580.0066,14
403,ri,2021-01-03,80.4509,952.989,0
404,sc,2021-01-03,65.5782,5006.0037,0
405,sd,2021-01-03,71.6101,820.2871,0
406,tn,2021-01-03,67.7106,5526.5891,29
407,tx,2021-01-03,71.1921,16764.5475,41
408,us,2021-01-03,73.3778,236074.6055,31
