,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
17,ky,smoothed_wearing_mask,2020-10-11,2020-12-09,59,87.1516926,0.550314,3697.4358,state,fb-survey
18,la,smoothed_wearing_mask,2020-10-11,2020-12-09,59,81.8195508,0.6667577,3345.9976,state,fb-survey
19,ma,smoothed_wearing_mask,2020-10-11,2020-12-09,59,94.1339096,0.336282,4883.011,state,fb-survey
20,md,smoothed_wearing_mask,2020-10-11,2020-12-09,59,92.6474642,0.4343921,3609.9977,state,fb-survey
21,me,smoothed_wearing_mask,2020-10-11,2020-12-09,59,87.0940171,0.800525,1754.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-10-11,2020-12-09,59,87.7958113,0.3402721,9254.0134,state,fb-survey
23,mn,smoothed_wearing_mask,2020-10-11,2020-12-09,59,88.5863391,0.4890948,4226.7417,state,fb-survey
24,mo,smoothed_wearing_mask,2020-10-11,2020-12-09,59,80.3588849,0.5866434,4586.1866,state,fb-survey
25,ms,smoothed_wearing_mask,2020-10-11,2020-12-09,59,80.408149,0.8666456,2097.4541,state,fb-survey
26,mt,smoothed_wearing_mask,2020-10-11,2020-12-09,59,82.5492454,0.9903946,1468.6247,state,fb-survey
27,nc,smoothed_wearing_mask,2020-10-11,2020-12-09,59,86.7996375,0.384628,7745.0085,state,fb-survey
28,nd,smoothed_wearing_mask,2020-10-11,2020-12-09,59,72.1723171,1.5888043,795.6222,state,fb-survey
29,ne,smoothed_wearing_mask,2020-10-11,2020-12-09,59,79.5424909,0.9235393,1907.8365,state,fb-survey
30,nh,smoothed_wearing_mask,2020-10-11,2020-12-09,59,88.9775414,0.7615662,1691.0,state,fb-survey
31,nj,smoothed_wearing_mask,2020-10-11,2020-12-09,59,92.0202707,0.3552012,5819.9982,state,fb-survey
32,nm,smoothed_wearing_mask,2020-10-11,2020-12-09,59,90.3400162,0.7158857,1702.8217,state,fb-survey
33,nv,smoothed_wearing_mask,2020-10-11,2020-12-09,59,88.0807525,0.7338194,1949.6265,state,fb-survey
34,ny,smoothed_wearing_mask,2020-10-11,2020-12-09,59,93.3759219,0.2303097,11661.0017,state,fb-survey
35,oh,smoothed_wearing_mask,2020-10-11,2020-12-09,59,85.7016064,0.3575729,9584.0054,state,fb-survey
36,ok,smoothed_wearing_mask,2020-10-11,2020-12-09,59,78.3705696,0.6981212,3478.0551,state,fb-survey
37,or,smoothed_wearing_mask,2020-10-11,2020-12-09,59,90.0869425,0.4655772,4119.8941,state,fb-survey
38,pa,smoothed_wearing_mask,2020-10-11,2020-12-09,59,87.5820138,0.3105533,11277.0074,state,fb-survey
39,ri,smoothed_wearing_mask,2020-10-11,2020-12-09,59,94.3939276,0.7314854,988.989,state,fb-survey
40,sc,smoothed_wearing_mask,2020-10-11,2020-12-09,59,83.7486485,0.5407796,4654.003,state,fb-survey
41,sd,smoothed_wearing_mask,2020-10-11,2020-12-09,59,70.2397314,1.4946949,935.6525,state,fb-survey
42,tn,smoothed_wearing_mask,2020-10-11,2020-12-09,59,81.2826416,0.5361525,5292.5584,state,fb-survey
43,tx,smoothed_wearing_mask,2020-10-11,2020-12-09,59,86.5985254,0.2667753,16306.9121,state,fb-survey
44,ut,smoothed_wearing_mask,2020-10-11,2020-12-09,59,83.2443688,0.6975318,2866.7356,state,fb-survey
45,va,smoothed_wearing_mask,2020-10-11,2020-12-09,59,89.9784438,0.3484128,7428.2324,state,fb-survey
46,vt,smoothed_wearing_mask,2020-10-11,2020-12-09,59,93.6538486,0.8734725,779.0003,state,fb-survey
