,time_value,trend,geo_value
501,2020-10-18,88,nv
502,2020-10-18,94,ny
503,2020-10-18,59,oh
504,2020-10-18,50,ok
505,2020-10-18,72,or
506,2020-10-18,45,pa
507,2020-10-18,66,ri
508,2020-10-18,52,sc
509,2020-10-18,30,sd
510,2020-10-18,88,tn
511,2020-10-18,78,tx
512,2020-10-18,88,us
513,2020-10-18,55,ut
514,2020-10-18,72,va
515,2020-10-18,49,vt
516,2020-10-18,64,wa
517,2020-10-18,40,wi
518,2020-10-18,39,wv
519,2020-10-18,19,wy
520,2020-10-19,61,ak
521,2020-10-19,64,al
522,2020-10-19,79,ar
523,2020-10-19,77,az
524,2020-10-19,67,ca
525,2020-10-19,80,co
526,2020-10-19,77,ct
527,2020-10-19,77,dc
528,2020-10-19,100,de
529,2020-10-19,84,fl
530,2020-10-19,72,ga
531,2020-10-19,37,hi
532,2020-10-19,37,ia
533,2020-10-19,44,id
534,2020-10-19,84,il
535,2020-10-19,82,in
536,2020-10-19,68,ks
537,2020-10-19,79,ky
538,2020-10-19,66,la
539,2020-10-19,75,ma
540,2020-10-19,71,md
541,2020-10-19,27,me
542,2020-10-19,76,mi
543,2020-10-19,55,mn
544,2020-10-19,68,mo
545,2020-10-19,60,ms
546,2020-10-19,28,mt
547,2020-10-19,47,nc
548,2020-10-19,29,nd
549,2020-10-19,86,ne
550,2020-10-19,23,nh
551,2020-10-19,72,nj
552,2020-10-19,78,nm
553,2020-10-19,77,nv
554,2020-10-19,80,ny
555,2020-10-19,62,oh
556,2020-10-19,66,ok
557,2020-10-19,62,or
558,2020-10-19,50,pa
559,2020-10-19,49,ri
560,2020-10-19,45,sc
561,2020-10-19,27,sd
562,2020-10-19,75,tn
563,2020-10-19,65,tx
564,2020-10-19,79,us
565,2020-10-19,42,ut
566,2020-10-19,75,va
567,2020-10-19,94,vt
568,2020-10-19,69,wa
569,2020-10-19,40,wi
570,2020-10-19,37,wv
571,2020-10-19,9,wy
572,2020-10-20,50,ak
573,2020-10-20,57,al
574,2020-10-20,46,ar
575,2020-10-20,84,az
576,2020-10-20,70,ca
577,2020-10-20,77,co
