,geo_value,time_value,value,sample_size,positive,negative,trend
561,sd,2020-10-19,68.2085,912.5014,622.4034,290.098,27
562,tn,2020-10-19,80.9253,4679.5619,3786.9488,892.6131,75
563,tx,2020-10-19,86.971,14601.0242,12698.654,1902.3702,65
564,us,2020-10-19,85.8698,216552.3608,188670.2132,27882.1476,79
565,ut,2020-10-19,84.6731,2586.026,2189.6697,396.3563,42
566,va,2020-10-19,90.3394,5752.2359,5196.5381,555.6978,75
567,vt,2020-10-19,92.9666,717.0012,666.5714,50.4298,94
568,wa,2020-10-19,91.6992,5895.9743,5406.561,489.4133,69
569,wi,2020-10-19,87.3703,5204.9806,4547.6056,657.375,40
570,wv,2020-10-19,85.5111,1859.0547,1589.6986,269.3561,37
571,wy,2020-10-19,63.8005,624.8191,398.6376,226.1815,9
572,ak,2020-10-20,82.5936,720.0,594.6741,125.3259,50
573,al,2020-10-20,82.6549,3023.0883,2498.7308,524.3575,57
574,ar,2020-10-20,85.5656,2140.633,1831.646,308.987,46
575,az,2020-10-20,86.9026,4614.4168,4010.0478,604.369,84
576,ca,2020-10-20,91.0616,16473.23,15000.7935,1472.4365,70
577,co,2020-10-20,87.7193,4505.8474,3952.5,553.3474,77
578,ct,2020-10-20,93.1886,3339.0,3111.5681,227.4319,53
579,dc,2020-10-20,96.1055,397.0,381.5389,15.4611,59
580,de,2020-10-20,92.7877,935.0073,867.5721,67.4352,32
581,fl,2020-10-20,84.8092,13674.9996,11597.6518,2077.3478,98
582,ga,2020-10-20,82.7079,5061.9587,4186.6396,875.3191,55
583,hi,2020-10-20,93.8007,862.0,808.562,53.438,46
584,ia,2020-10-20,79.9873,3197.5255,2557.6144,639.9111,57
585,id,2020-10-20,74.8738,1689.6046,1265.0716,424.533,56
586,il,2020-10-20,89.1024,8758.0227,7803.6089,954.4138,84
587,in,2020-10-20,85.189,5289.0,4505.6474,783.3526,67
588,ks,2020-10-20,81.429,2488.8266,2026.6269,462.1997,71
589,ky,2020-10-20,87.0331,3234.1167,2814.7507,419.366,89
590,la,2020-10-20,80.4416,2989.3684,2404.6943,584.6741,86
591,ma,2020-10-20,95.1031,4461.008,4242.557,218.451,74
592,md,2020-10-20,94.0322,3190.9911,3000.5585,190.4326,78
593,me,2020-10-20,88.7424,1478.0,1311.6126,166.3874,37
594,mi,2020-10-20,88.2703,8324.012,7347.6301,976.3819,80
595,mn,2020-10-20,89.2143,3824.5919,3412.0815,412.5104,77
596,mo,2020-10-20,80.8975,4075.1478,3296.6946,778.4532,51
597,ms,2020-10-20,79.8372,1876.7277,1498.3277,378.4,91
598,mt,2020-10-20,81.6236,1366.7158,1115.5624,251.1534,36
599,nc,2020-10-20,87.0254,6978.0076,6072.6367,905.3709,59
600,nd,2020-10-20,73.7746,761.7562,561.9829,199.7733,87
601,ne,2020-10-20,82.8172,1746.709,1446.5762,300.1328,71
602,nh,2020-10-20,89.1332,1568.0,1397.6087,170.3913,52
603,nj,2020-10-20,91.9159,5014.9988,4609.5797,405.4191,74
604,nm,2020-10-20,90.1077,1682.4198,1515.9898,166.43,71
605,nv,2020-10-20,88.6796,1723.325,1528.237,195.088,50
606,ny,2020-10-20,93.6239,10405.0008,9741.5649,663.4359,88
607,oh,2020-10-20,86.1529,8907.0054,7673.6441,1233.3613,65
608,ok,2020-10-20,78.4477,3180.1702,2494.7717,685.3985,56
609,or,2020-10-20,90.0683,3659.0194,3295.6168,363.4026,64
610,pa,2020-10-20,87.4937,9966.0058,8719.63,1246.3758,42
611,ri,2020-10-20,91.84,911.992,837.5736,74.4184,43
612,sc,2020-10-20,84.3203,4052.0018,3416.6587,635.3431,62
613,sd,2020-10-20,70.2016,916.3976,643.3256,273.072,27
614,tn,2020-10-20,80.614,4669.8638,3764.5636,905.3002,87
615,tx,2020-10-20,87.0608,14455.0221,12584.6509,1870.3712,70
616,us,2020-10-20,86.0127,215173.3502,187725.6972,27447.653,82
617,ut,2020-10-20,85.1896,2595.2186,2210.8571,384.3615,37
618,va,2020-10-20,90.4357,5756.5238,5205.9511,550.5727,64
619,vt,2020-10-20,92.3669,713.0014,658.5776,54.4238,49
620,wa,2020-10-20,91.5069,5891.9777,5391.5662,500.4115,66
621,wi,2020-10-20,87.5868,5182.9884,4539.6114,643.377,44
622,wv,2020-10-20,86.1835,1812.0542,1561.6916,250.3626,19
623,wy,2020-10-20,64.429,633.0509,407.8681,225.1828,37
624,ak,2020-10-21,83.169,709.0,589.6683,119.3317,33
625,al,2020-10-21,82.2558,2955.0935,2430.7351,524.3584,51
626,ar,2020-10-21,86.1398,2070.6268,1783.6339,286.9929,67
627,az,2020-10-21,87.1333,4557.2696,3970.8983,586.3713,80
628,ca,2020-10-21,91.3148,16297.1945,14881.7554,1415.4391,83
629,co,2020-10-21,87.9896,4423.8478,3892.5275,531.3203,72
630,ct,2020-10-21,93.1926,3385.0,3154.5681,230.4319,68
631,dc,2020-10-21,95.6579,379.0,362.5434,16.4566,66
632,de,2020-10-21,92.7171,871.0073,807.5728,63.4345,62
633,fl,2020-10-21,84.9246,13593.9995,11544.6506,2049.3489,73
634,ga,2020-10-21,82.2446,5126.9547,4216.6455,910.3092,85
635,hi,2020-10-21,93.8596,854.0,801.5614,52.4386,52
636,ia,2020-10-21,80.2436,3183.3356,2554.4225,628.9131,59
637,id,2020-10-21,75.0373,1719.6137,1290.3519,429.2618,35
638,il,2020-10-21,89.4624,8782.0222,7856.6051,925.4171,73
639,in,2020-10-21,85.7539,5225.0024,4480.6441,744.3583,84
640,ks,2020-10-21,81.4691,2456.9136,2001.6266,455.287,93
641,ky,2020-10-21,87.1509,3199.1129,2788.056,411.0569,85
642,la,2020-10-21,80.7228,2960.3685,2389.6916,570.6769,62
643,ma,2020-10-21,95.1389,4391.008,4177.5566,213.4514,76
644,md,2020-10-21,94.228,3229.9912,3043.5564,186.4348,80
645,me,2020-10-21,88.5743,1500.0,1328.6143,171.3857,47
646,mi,2020-10-21,88.4531,8247.9935,7295.6099,952.3836,70
647,mn,2020-10-21,89.16,3825.1335,3410.4877,414.6458,69
648,mo,2020-10-21,81.068,4080.1544,3307.6999,772.4545,78
649,ms,2020-10-21,80.0306,1884.8917,1508.4898,376.4019,44
650,mt,2020-10-21,81.3648,1347.7235,1096.5732,251.1503,29
651,nc,2020-10-21,87.6407,6929.0072,6072.6301,856.3771,50
652,nd,2020-10-21,73.3043,725.6755,531.9517,193.7238,25
653,ne,2020-10-21,82.3479,1722.743,1418.6424,304.1006,54
654,nh,2020-10-21,89.3132,1557.0,1390.6069,166.3931,23
655,nj,2020-10-21,91.9639,5044.9988,4639.5792,405.4196,69
656,nm,2020-10-21,90.4181,1674.653,1514.1902,160.4628,62
657,nv,2020-10-21,88.9537,1705.2138,1516.8501,188.3637,64
658,ny,2020-10-21,93.3994,10339.0004,9656.5665,682.4339,87
659,oh,2020-10-21,86.3478,8873.0033,7661.6398,1211.3635,68
660,ok,2020-10-21,78.7498,3145.1135,2476.7694,668.3441,76
661,or,2020-10-21,89.8616,3673.1702,3300.7708,372.3994,92
662,pa,2020-10-21,87.9771,9851.0068,8666.6257,1184.3811,50
663,ri,2020-10-21,92.3548,894.992,826.5685,68.4235,48
664,sc,2020-10-21,84.4647,4006.0019,3383.6571,622.3448,70
665,sd,2020-10-21,70.7105,891.0799,630.0869,260.993,25
666,tn,2020-10-21,80.4027,4610.8771,3707.2688,903.6083,75
667,tx,2020-10-21,87.0563,14141.0284,12310.6573,1830.3711,73
668,us,2020-10-21,86.1276,213303.88,186380.5721,26923.3079,80
669,ut,2020-10-21,85.2415,2489.1239,2121.7667,367.3572,53
670,va,2020-10-21,90.4523,5740.8312,5192.7118,548.1194,74
671,vt,2020-10-21,91.7818,723.0014,663.5835,59.4179,38
672,wa,2020-10-21,91.6165,5813.9735,5326.5596,487.4139,62
673,wi,2020-10-21,87.6275,5095.0043,4464.627,630.3773,37
674,wv,2020-10-21,86.302,1755.1034,1514.6902,240.4132,47
675,wy,2020-10-21,65.7607,646.0191,424.8264,221.1927,10
676,ak,2020-10-22,82.6619,694.0,573.6734,120.3266,11
677,al,2020-10-22,82.585,2919.0827,2410.7234,508.3593,72
678,ar,2020-10-22,85.2528,2014.7631,1717.6425,297.1206,52
679,az,2020-10-22,87.3826,4441.2696,3880.8958,560.3738,86
680,ca,2020-10-22,91.2166,15864.2252,14470.8128,1393.4124,77
681,co,2020-10-22,88.355,4304.8181,3803.5241,501.294,78
682,ct,2020-10-22,92.7742,3272.0,3035.5723,236.4277,44
683,dc,2020-10-22,95.8333,371.0,355.5417,15.4583,60
684,de,2020-10-22,93.6126,868.0073,812.5639,55.4434,32
685,fl,2020-10-22,84.9695,13281.9994,11285.6498,1996.3496,79
686,ga,2020-10-22,81.6579,5011.9527,4092.6528,919.2999,72
687,hi,2020-10-22,93.1566,810.0,754.5684,55.4316,40
688,ia,2020-10-22,80.1716,3111.3141,2494.3902,616.9239,37
689,id,2020-10-22,74.5057,1675.8877,1248.6311,427.2566,18
690,il,2020-10-22,89.2947,8746.9996,7810.6068,936.3928,86
691,in,2020-10-22,85.993,5150.0027,4428.642,721.3607,78
692,ks,2020-10-22,81.7361,2366.9136,1934.6239,432.2897,82
693,ky,2020-10-22,87.4508,3140.1182,2746.0583,394.0599,83
694,la,2020-10-22,80.3022,2846.3686,2285.696,560.6726,70
695,ma,2020-10-22,95.0116,4299.009,4084.5589,214.4501,90
696,md,2020-10-22,94.4342,3187.991,3010.5542,177.4368,59
697,me,2020-10-22,88.9073,1509.0,1341.6109,167.3891,55
698,mi,2020-10-22,88.4152,8125.9943,7184.6108,941.3835,81
699,mn,2020-10-22,88.9084,3792.0233,3371.4267,420.5966,65
700,mo,2020-10-22,81.5342,3993.0407,3255.6957,737.345,62
701,ms,2020-10-22,79.9092,1869.5892,1493.9733,375.6159,73
